,male,female,flames_result
0,james phillips,colleen bryant,Affection
1,aaron jensen,amber jones,Enemy
2,daniel jackson,kathy finley,Love
3,jesse young,jacqueline jones,Enemy
4,christian baxter,paula young,Love
5,caleb floyd,jill nichols,Affection
6,michael davis,jessica medina,Friends
7,evan goodman,kristen hahn,Affection
8,robert graham,courtney browning,Affection
9,brian williams,danielle fisher,Enemy
10,theodore stewart,kathryn woodward,Enemy
11,harold calderon,margaret gomez,Affection
12,brian wong,ashley yang,Marriage
13,aaron cole,janice oliver,Enemy
14,vincent williams,debbie massey,Affection
15,paul cooley,jacqueline dixon,Love
16,nicholas lee,monica lara,Marriage
17,brandon harris,lindsey bean,Enemy
18,tyler harrington,colleen moore,Enemy
19,francisco hester,carolyn moore,Enemy
20,thomas martin,haley hicks dvm,Affection
21,christopher solis,christine burns,Affection
22,matthew ortega,sara williams,Friends
23,william hayes,toni castro,Friends
24,nathan oliver,vanessa williams,Enemy
25,austin nichols iii,cheyenne stephens,Friends
26,tyler smith,carol hudson,Affection
27,bruce gutierrez,katrina long,Marriage
28,zachary byrd,julie norris,Friends
29,joseph sutton,michelle hill,Friends
30,anthony watson,sarah perkins,Affection
31,shawn garcia,kristen bradley,Affection
32,robert smith,jennifer bishop,Affection
33,thomas lindsey,martha sullivan,Enemy
34,michael cox,courtney graham,Love
35,aaron mckenzie,dawn thomas,Affection
36,christopher nichols,emily brown,Affection
37,ryan jenkins,catherine taylor,Enemy
38,bryan hebert,sherry salazar,Affection
39,charles gillespie,sarah hunter,Marriage
40,daniel nelson,jenny ramirez,Marriage
41,michael banks,michelle johnson,Enemy
42,luis fleming,laura lewis,Affection
43,adam hogan dds,cynthia young,Marriage
44,david rojas,deborah rice,Affection
45,todd gutierrez,megan jones,Marriage
46,christopher lowe,hayley cox,Marriage
47,stephen bell,anita rodriguez,Affection
48,travis franklin,tiffany collins,Enemy
49,patrick webb md,susan green,Friends
50,joshua jones,erin bryant,Friends
51,billy baxter,heather edwards,Affection
52,jason cordova,sally rodriguez,Affection
53,patrick munoz,miss amy smith dvm,Marriage
54,michael mays,laura stevens,Marriage
55,james randall,melody drake,Marriage
56,robert lee,michelle garcia,Affection
57,shawn hamilton,melissa lynn,Enemy
58,wayne smith,emily hopkins,Enemy
59,thomas mcconnell,ashley tucker,Love
60,john jarvis,alexis leblanc,Friends
61,larry anthony,michelle ramsey,Affection
62,brian grimes,tiffany rogers dds,Enemy
63,ricardo horton,lisa rogers,Love
64,jacob lynn,wendy mendoza,Marriage
65,george cruz,elizabeth stone,Marriage
66,stephen banks,laura johnson,Affection
67,justin bond,lori young,Enemy
68,brian andrews,pamela dawson,Affection
69,thomas guzman,lisa hernandez,Affection
70,devon evans dds,lauren rodriguez,Affection
71,jason torres,michelle pierce,Affection
72,damon wade,marie hopkins,Love
73,edward barton,meagan davidson,Love
74,timothy simon,kristen washington,Enemy
75,kevin hudson,jasmine hood,Marriage
76,steven lee,lisa anderson,Affection
77,christopher burton,sara peters,Marriage
78,benjamin mcdaniel,sarah phillips,Friends
79,jason peterson,ashley williams,Affection
80,james kennedy,pamela rodgers,Marriage
81,lawrence mathis,sara martinez,Friends
82,gregory hardy,brittany little,Marriage
83,thomas nixon,ashley adams,Marriage
84,john noble,christina meadows,Marriage
85,damon morgan,amy cohen,Enemy
86,gregory hill, pamela duarte,Affection
87,miguel thompson,melissa lopez,Enemy
88,david walker,amy walton,Affection
89,joshua herman,taylor barron,Marriage
90,tyler davis,mary graves,Marriage
91,dwayne armstrong,melissa clark,Affection
92,richard medina,lacey reilly,Love
93,kevin banks,terri williams,Affection
94,steven hart,megan harvey,Marriage
95,mark bradley,michele wade,Enemy
96,jeremy esparza,maria dawson,Affection
97,james gordon,rebecca lawson,Enemy
